Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
HAIR,AUSSIE,0.43550,2024-01-23 00:00:00
HAIR,AUSSIE,0.08130,2024-01-24 00:00:00
HAIR,AUSSIE,0.00000,2024-01-25 00:00:00
HAIR,AUSSIE,0.27850,2024-01-26 00:00:00
HAIR,AUSSIE,0.01790,2024-01-29 00:00:00
HAIR,AUSSIE,0.05670,2024-01-30 00:00:00
HAIR,AUSSIE,0.00000,2024-01-31 00:00:00
HAIR,AUSSIE,0.04600,2024-02-01 00:00:00
HAIR,AUSSIE,0.04510,2024-02-02 00:00:00
HAIR,AUSSIE,0.01580,2024-02-05 00:00:00
HAIR,AUSSIE,0.03340,2024-02-06 00:00:00
HAIR,AUSSIE,0.02210,2024-02-07 00:00:00
HAIR,AUSSIE,0.01860,2024-02-08 00:00:00
HAIR,AUSSIE,0.01700,2024-02-09 00:00:00
HAIR,AUSSIE,0.00430,2024-02-12 00:00:00
HAIR,AUSSIE,0.04160,2024-02-13 00:00:00
HAIR,AUSSIE,0.04090,2024-02-14 00:00:00
HAIR,AUSSIE,0.05340,2024-02-15 00:00:00
HAIR,AUSSIE,0.39060,2024-02-16 00:00:00
HAIR,AUSSIE,0.00630,2024-02-19 00:00:00
HAIR,AUSSIE,0.10110,2024-02-20 00:00:00
HAIR,AUSSIE,0.02570,2024-02-21 00:00:00
HAIR,AUSSIE,0.04900,2024-02-22 00:00:00
HAIR,AUSSIE,0.23750,2024-02-23 00:00:00
HAIR,AUSSIE,0.00120,2024-02-26 00:00:00
HAIR,AUSSIE,0.02040,2024-02-27 00:00:00
HAIR,AUSSIE,0.00450,2024-02-28 00:00:00
HAIR,AUSSIE,0.04100,2024-02-29 00:00:00
HAIR,AUSSIE,0.06000,2024-03-01 00:00:00
HAIR,AUSSIE,0.02700,2024-03-05 00:00:00
HAIR,AUSSIE,0.01920,2024-03-07 00:00:00
HAIR,AUSSIE,0.00860,2024-03-08 00:00:00
HAIR,AUSSIE,-0.00110,2024-03-11 00:00:00
HAIR,AUSSIE,0.00820,2024-03-12 00:00:00
HAIR,AUSSIE,0.00160,2024-03-13 00:00:00
HAIR,AUSSIE,0.00550,2024-03-14 00:00:00
HAIR,AUSSIE,0.01060,2024-03-15 00:00:00
HAIR,AUSSIE,0.00050,2024-03-18 00:00:00
HAIR,AUSSIE,0.00690,2024-03-19 00:00:00
HAIR,AUSSIE,0.00050,2024-03-20 00:00:00
HAIR,AUSSIE,0.00390,2024-03-21 00:00:00
HAIR,AUSSIE,0.01150,2024-03-22 00:00:00
HAIR,AUSSIE,0.00000,2024-03-25 00:00:00
HAIR,AUSSIE,0.00600,2024-03-26 00:00:00
HAIR,AUSSIE,0.00470,2024-03-27 00:00:00
HAIR,AUSSIE,0.00070,2024-03-28 00:00:00
HAIR,AUSSIE,0.00310,2024-04-01 00:00:00
HAIR,AUSSIE,0.01080,2024-04-02 00:00:00
HAIR,AUSSIE,0.01220,2024-04-03 00:00:00
HAIR,AUSSIE,0.02510,2024-04-04 00:00:00
HAIR,AUSSIE,0.01550,2024-04-05 00:00:00
HAIR,AUSSIE,0.00930,2024-04-08 00:00:00
HAIR,AUSSIE,0.07340,2024-04-09 00:00:00
HAIR,AUSSIE,0.04440,2024-04-11 00:00:00
HAIR,AUSSIE,0.02860,2024-04-12 00:00:00
HAIR,AUSSIE,0.01580,2024-04-15 00:00:00
HAIR,AUSSIE,0.03200,2024-04-16 00:00:00
HAIR,AUSSIE,0.01200,2024-04-17 00:00:00
HAIR,AUSSIE,0.03390,2024-04-18 00:00:00
HAIR,AUSSIE,0.01940,2024-04-19 00:00:00
HAIR,AUSSIE,0.02440,2024-04-23 00:00:00
HAIR,AUSSIE,0.00640,2024-04-24 00:00:00
HAIR,AUSSIE,0.00430,2024-04-25 00:00:00
HAIR,AUSSIE,0.01540,2024-04-26 00:00:00
HAIR,AUSSIE,0.02460,2024-04-30 00:00:00
HAIR,AUSSIE,0.00310,2024-05-02 00:00:00
HAIR,AUSSIE,0.01740,2024-05-03 00:00:00
HAIR,AUSSIE,0.01190,2024-05-06 00:00:00
HAIR,AUSSIE,0.01110,2024-05-07 00:00:00
HAIR,AUSSIE,0.00700,2024-05-08 00:00:00
HAIR,AUSSIE,0.00510,2024-05-09 00:00:00
HAIR,AUSSIE,0.00660,2024-05-10 00:00:00
HAIR,AUSSIE,0.00520,2024-05-13 00:00:00
HAIR,AUSSIE,0.01800,2024-05-14 00:00:00
HAIR,AUSSIE,0.00350,2024-05-15 00:00:00
HAIR,AUSSIE,0.00650,2024-05-16 00:00:00
HAIR,AUSSIE,0.37570,2024-05-17 00:00:00
HAIR,AUSSIE,0.19400,2024-05-21 00:00:00
HAIR,AUSSIE,0.04630,2024-05-22 00:00:00
HAIR,AUSSIE,0.04410,2024-05-23 00:00:00
BABY,BABY WIPES,3.44200,2022-01-03 00:00:00
BABY,BABY WIPES,0.49990,2022-01-04 00:00:00
BABY,BABY WIPES,0.84930,2022-01-05 00:00:00
BABY,BABY WIPES,1.11870,2022-01-07 00:00:00
BABY,BABY WIPES,0.33970,2022-01-08 00:00:00
BABY,BABY WIPES,0.29370,2022-01-10 00:00:00
BABY,BABY WIPES,0.32060,2022-01-11 00:00:00
BABY,BABY WIPES,1.63560,2022-01-12 00:00:00
BABY,BABY WIPES,0.52080,2022-01-13 00:00:00
BABY,BABY WIPES,1.25490,2022-01-14 00:00:00
BABY,BABY WIPES,0.12110,2022-01-15 00:00:00
BABY,BABY WIPES,0.27640,2022-01-17 00:00:00
