"Sub Sector","Category","Shipment MSU Internal","Date"
"BABY CARE","BABY WIPES",21.4718,"2021-06"
"BABY CARE","DIAPER",75.97230000000002,"2021-06"
"DISH WASHING","ADW",26.5,"2021-06"
"DISH WASHING","HDW",24.0468,"2021-06"
"FABRIC CARE","FABRIC ENHANCER",0.4122,"2021-06"
"FABRIC CARE","LAUNDRY",88.5061,"2021-06"
"FEMININE CARE","INCO",2.1225000000000005,"2021-06"
"FEMININE CARE","LINERS",16.1932,"2021-06"
"FEMININE CARE","PADS",24.793699999999998,"2021-06"
"FEMININE CARE","TAMPONS",10.0684,"2021-06"
"GROOMING","FEMALE DISPOSABL RAZ",4.8107,"2021-06"
"GROOMING","FEMALE HR RMVL APPLN",4.291000000000001,"2021-06"
"GROOMING","FEMALE PREM B&R SYS",5.375699999999999,"2021-06"
"GROOMING","FEMALE SHAVE PREP",0.0904,"2021-06"
"GROOMING","HAIR CARE APPLIANCE",-0.02,"2021-06"
"GROOMING","MALE DISPOSABL RAZOR",38.2874,"2021-06"
"GROOMING","MALE HAIR REMV APPLN",1.9670000000000007,"2021-06"
"GROOMING","MALE OT SYSDBL EDGE",0.2407,"2021-06"
"GROOMING","MALE PREMIUM B&R SYS",20.301000000000002,"2021-06"
"GROOMING","MALE SHAVE PREP",3.3958000000000004,"2021-06"
"GROOMING","MALE SKIN CARE",0.0601,"2021-06"
"HAIR CARE","AUSSIE",0.463,"2021-06"
"HAIR CARE","BEAR FRUITS",-0.0274,"2021-06"
"HAIR CARE","H&S",40.174600000000005,"2021-06"
"HAIR CARE","HERBAL ESSENCES",0.2184,"2021-06"
"HAIR CARE","MODEST EGO",-0.0088,"2021-06"
"HAIR CARE","PANTENE",55.507600000000004,"2021-06"
"HOME CARE","AIR CARE",4.4967999999999995,"2021-06"
"HOME CARE","CLEANING PRODUCTS",17.690300000000004,"2021-06"
"HOME CARE","CLEANING SYSTEMS",1.5131,"2021-06"
"ORAL CARE","DENTAL FLOSS",0.43010000000000004,"2021-06"
"ORAL CARE","DENTIFRICE",8.166099999999998,"2021-06"
"ORAL CARE","DENTURE CARE",0.42950000000000005,"2021-06"
"ORAL CARE","MANUAL ORAL CARE",1.1436,"2021-06"
"ORAL CARE","ORAL RINSE",0.5314,"2021-06"
"ORAL CARE","POWER ORAL CARE",7.703699999999998,"2021-06"
"PERSONAL CARE","APDO & BODY SPRAY",0.6216,"2021-06"
"PERSONAL CARE","MASS FRAGRANCE",0.0684,"2021-06"
"PERSONAL CARE","PERSONAL CLEANSING",0.0713,"2021-06"
"PHC CARE","SLEEP AID",0.5086999999999999,"2021-06"
"SKIN CARE","FEMALE SKIN CARE",1.8034000000000003,"2021-06"
"BABY CARE","BABY WIPES",37.7152,"2021-07"
"BABY CARE","DIAPER",91.8212,"2021-07"
"DISH WASHING","ADW",32.8539,"2021-07"
"DISH WASHING","HDW",29.066300000000002,"2021-07"
"FABRIC CARE","FABRIC ENHANCER",2.0499,"2021-07"
"FABRIC CARE","LAUNDRY",236.0424,"2021-07"
"FEMININE CARE","INCO",3.3606,"2021-07"
"FEMININE CARE","LINERS",22.3831,"2021-07"
"FEMININE CARE","PADS",26.5569,"2021-07"
"FEMININE CARE","TAMPONS",12.5318,"2021-07"
"GROOMING","FEMALE DISPOSABL RAZ",5.9707,"2021-07"
"GROOMING","FEMALE HR RMVL APPLN",3.4430000000000005,"2021-07"
"GROOMING","FEMALE PREM B&R SYS",5.7058,"2021-07"
"GROOMING","FEMALE SHAVE PREP",0.1026,"2021-07"
