Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
BABY,BABY WIPES,1.50330,2023-07-05 00:00:00
BABY,BABY WIPES,-0.25500,2023-07-06 00:00:00
BABY,BABY WIPES,1.68390,2023-07-07 00:00:00
BABY,BABY WIPES,0.21410,2023-07-08 00:00:00
BABY,BABY WIPES,1.25290,2023-07-10 00:00:00
BABY,BABY WIPES,1.29850,2023-07-11 00:00:00
BABY,BABY WIPES,1.15660,2023-07-12 00:00:00
BABY,BABY WIPES,0.24600,2023-07-13 00:00:00
BABY,BABY WIPES,1.25650,2023-07-14 00:00:00
BABY,BABY WIPES,0.74010,2023-07-17 00:00:00
BABY,BABY WIPES,0.64470,2023-07-18 00:00:00
BABY,BABY WIPES,1.25600,2023-07-19 00:00:00
BABY,BABY WIPES,0.52660,2023-07-20 00:00:00
BABY,BABY WIPES,1.57520,2023-07-21 00:00:00
BABY,BABY WIPES,0.80110,2023-07-24 00:00:00
BABY,BABY WIPES,1.58630,2023-07-25 00:00:00
BABY,BABY WIPES,2.12770,2023-07-26 00:00:00
BABY,BABY WIPES,0.28630,2023-07-27 00:00:00
BABY,BABY WIPES,1.11380,2023-07-28 00:00:00
BABY,BABY WIPES,0.86600,2023-07-31 00:00:00
BABY,BABY WIPES,0.55930,2023-08-01 00:00:00
BABY,BABY WIPES,1.25580,2023-08-02 00:00:00
BABY,BABY WIPES,0.70480,2023-08-03 00:00:00
BABY,BABY WIPES,1.91370,2023-08-04 00:00:00
BABY,BABY WIPES,0.38020,2023-08-05 00:00:00
BABY,BABY WIPES,0.55050,2023-08-07 00:00:00
BABY,BABY WIPES,0.68740,2023-08-08 00:00:00
BABY,BABY WIPES,1.13050,2023-08-09 00:00:00
BABY,BABY WIPES,1.11260,2023-08-11 00:00:00
BABY,BABY WIPES,0.37150,2023-08-12 00:00:00
BABY,BABY WIPES,0.32420,2023-08-14 00:00:00
BABY,BABY WIPES,0.78470,2023-08-16 00:00:00
BABY,BABY WIPES,0.95760,2023-08-17 00:00:00
BABY,BABY WIPES,4.46630,2023-08-18 00:00:00
BABY,BABY WIPES,3.18790,2023-08-23 00:00:00
BABY,BABY WIPES,0.58050,2023-08-24 00:00:00
BABY,BABY WIPES,0.11660,2023-08-25 00:00:00
BABY,BABY WIPES,0.46750,2023-08-26 00:00:00
BABY,BABY WIPES,1.62240,2023-08-28 00:00:00
BABY,BABY WIPES,1.43930,2023-08-30 00:00:00
BABY,BABY WIPES,-0.27780,2023-08-31 00:00:00
BABY,BABY WIPES,0.88930,2023-09-01 00:00:00
BABY,BABY WIPES,0.68710,2023-09-02 00:00:00
BABY,BABY WIPES,0.99270,2023-09-04 00:00:00
BABY,BABY WIPES,2.44200,2023-09-05 00:00:00
BABY,BABY WIPES,1.72470,2023-09-06 00:00:00
BABY,BABY WIPES,0.37450,2023-09-07 00:00:00
BABY,BABY WIPES,2.95120,2023-09-08 00:00:00
BABY,BABY WIPES,0.05740,2023-09-09 00:00:00
BABY,BABY WIPES,1.04430,2023-09-11 00:00:00
BABY,BABY WIPES,1.68650,2023-09-12 00:00:00
BABY,BABY WIPES,2.03760,2023-09-13 00:00:00
BABY,BABY WIPES,0.83980,2023-09-15 00:00:00
BABY,BABY WIPES,0.42440,2023-09-16 00:00:00
BABY,BABY WIPES,0.56930,2023-09-18 00:00:00
